id,name,empl_id,project,process,sub_process,date,status,start_time,end_time,total_time,comments
36,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,12-Mar-18,Break,3/13/2018 4:12:03 PM,3/13/2018 4:12:48 PM,0.73,
13,cymCBJO38xIzIsTFYUobKw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,12-Mar-18,System Locked,3/12/2018 12:25:11 PM,3/12/2018 12:50:54 PM,25.72,
50,u+hHHgsk7vXxk+pEpY5n/Q==,iDLGelE+x5b0qB63iEpffA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,13-Mar-18,System Locked,13-03-2018 18:10:24,13-03-2018 18:28:38,18.22,
46,ckmT4R9WVWB26monU3MHNw==,WzzOoD5iW8LNLWYNV7IiUA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,System Locked,13-Mar-18 5:20:02 PM,13-Mar-18 5:20:08 PM,0.08,
47,ckmT4R9WVWB26monU3MHNw==,WzzOoD5iW8LNLWYNV7IiUA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,System Locked,13-Mar-18 5:20:03 PM,13-Mar-18 5:20:08 PM,0.07,
52,ckmT4R9WVWB26monU3MHNw==,WzzOoD5iW8LNLWYNV7IiUA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,System Locked,13-Mar-18 6:30:11 PM,13-Mar-18 6:30:16 PM,0.07,
53,ckmT4R9WVWB26monU3MHNw==,WzzOoD5iW8LNLWYNV7IiUA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,System Locked,13-Mar-18 6:30:11 PM,13-Mar-18 6:30:16 PM,0.07,
48,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,System Locked,3/13/2018 5:05:51 PM,3/13/2018 5:52:17 PM,46.42,
17,cymCBJO38xIzIsTFYUobKw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,12-Mar-18,Break,3/12/2018 1:41:52 PM,3/12/2018 1:42:01 PM,0.13,
49,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,13-Mar-18,Break,3/13/2018 6:23:31 PM,3/13/2018 6:23:38 PM,0.1,
